# DiversMap 統合地点データ
# フォーマット: id,name,category,subcategory,district,postal_code,address,phone,hours,access,website_url,description,tags,source,lat,lng
#
# category: transit / hazard / accessible / food / tourism / shopping / medical / other
# tags: | 区切りのタグ（バリアフリー設備・店舗特徴など）
# lat/lng: 省略可（空欄でマップに表示しない）
#
# 追加・修正はこのファイルを直接編集してください（再ビルド不要）
# 既存施設データを更新する場合は dart run tool/migrate_to_places.dart を再実行
id,name,category,subcategory,district,postal_code,address,phone,hours,access,website_url,description,tags,source,lat,lng
1,博多駅前バス停,transit,,,,,,,,,,次のバスまで 4分 / 2番乗り場,リアルタイム,33.5892,130.4194
2,歩道工事中 (〜6/30),hazard,,,,,,,,,,中州交差点付近 — 迂回推奨,ユーザー投稿,33.5925,130.4055
3,エレベーター使用可,accessible,,,,,,,,,,博多駅 筑紫口 — 正常稼働中,公式情報,33.5891,130.4220
4,中洲屋台エリア,food,,,,,,,,,,18:00〜深夜 / 屋台約30店舗,スポット,33.5936,130.4098
bf_0001,アイランドシティ中央公園 体験学習施設「ぐりんぐりん」,accessible,官公庁舎・公共施設,東区,813-0017,福岡市東区香椎照葉４丁目,092-661-5980,9:00-17:00 毎週火曜日・年末年始休館,西鉄アイランドシティ中央公園前バス停から徒歩15分,https://ic-centralpark.jp/,福岡市「赤ちゃんの駅」の登録施設です。ＡＥＤが管理事務所にあります。 体験学習施設「ぐりんぐりん」屋上へはスロープで上がることが出来ます。 火曜日の休館日でも、赤ちゃんの駅のご利用は可能です。,車いす貸出|バリアフリートイレ|段差無し|乗り降りしやすい駐車場|ふくおか・まごころ駐車場|筆談対応|点字（誘導）ブロック|屋内のおむつ交換スペース|授乳室|洋式トイレ|全館禁煙,市データ,33.665073,130.420334
bf_0002,青葉公民館,accessible,官公庁舎・公共施設,東区,813-0025,福岡市東区青葉三丁目１０－８,092-691-9799,,西鉄バス 青葉小学校前バス停から徒歩3分,http://gakushu.city.fukuoka.lg.jp/center/detail.php?id=284,公民館（講堂、学習室、研修室、和室、地域団体室、児童等集会室）,車いす貸出|エレベーター|バリアフリートイレ|段差無し|障がい者等対応エレベーター|乗り降りしやすい駐車場|点字（誘導）ブロック|トイレのおむつ交換スペース|ベビーチェア|温水洗浄便座|全館禁煙,市データ,33.644932,130.46315
bf_0003,福岡市地下鉄 赤坂駅,accessible,公共交通機関,中央区,810-0042,福岡市中央区赤坂一丁目,092-741-7800,地下鉄営業時間内,,https://subway.city.fukuoka.lg.jp/eki/stations/akasak.php,駅務室にＡＥＤがあります。,車いす貸出|エレベーター|バリアフリートイレ|段差無し|障がい者等対応エレベーター|文字案内|筆談対応|点字（誘導）ブロック|点字案内|音声案内|ほじょ犬の同伴可能|トイレのおむつ交換スペース|ベビーチェア|お子さま、お子さま連れの方への割引|公衆電話|障がいのある方、高齢者の方への割引|介助用ベッド、大型ベッド、ユニバーサルシート|オストメイト対応設備|温水洗浄便座|洋式トイレ|全館禁煙,市データ,33.587482,130.390213
bf_0004,赤坂公民館,accessible,官公庁舎・公共施設,中央区,810-0042,福岡市中央区赤坂２丁目５－126,092-751-4691,,西鉄警固町バス停から徒歩約4分,http://gakushu.city.fukuoka.lg.jp/center/,・公民館（講堂、学習室、研修室、和室、地域団体室、児童等集会室） ・老人いこいの家,バリアフリートイレ|乗り降りしやすい駐車場|筆談対応|トイレのおむつ交換スペース|ベビーチェア|オストメイト対応設備|温水洗浄便座|全館禁煙,市データ,33.58667,130.38942
bf_0005,アクロス福岡,accessible,官公庁舎・公共施設,中央区,810-0001,福岡市中央区天神１－１－１,092-725-9113,,西鉄市役所北口バス停から徒歩1分,http://www.acros.or.jp/,,車いす貸出|エレベーター|バリアフリートイレ|段差無し|乗り降りしやすい駐車場|文字案内|手話対応|筆談対応|点字（誘導）ブロック|点字案内|屋内のおむつ交換スペース|ベビーチェア|授乳室|オストメイト対応設備|温水洗浄便座,市データ,33.589542,130.403717
bf_0006,愛宕公民館,accessible,官公庁舎・公共施設,西区,819-0015,福岡市西区愛宕４－１１－１１,092-891-7962,,西鉄バス愛公民館前バス停から徒歩2分,http://gakushu.city.fukuoka.lg.jp/center/detail.php?id=142,・公民館（講堂、児童等集会室、小ホール、地域団体室、学習室、和室、印刷室、事務室）,エレベーター|バリアフリートイレ|段差無し|障がい者等対応エレベーター|乗り降りしやすい駐車場|筆談対応|点字（誘導）ブロック|トイレのおむつ交換スペース|ベビーチェア|温水洗浄便座|駐車場|洋式トイレ|自動ドア|全館禁煙,市データ,33.587044,130.340714
